backbone,params,n_seeds,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,accuracy_mean,accuracy_sd,mcc_mean,mcc_sd,ece_mean,ece_sd,nll_mean,nll_sd
convnext_tiny,27825511,3,0.9021,0.0058,0.897,0.9084,0.9187,0.0057,0.9028,0.0067,0.046,0.0128,0.2873,0.0425
efficientnetv2b0,5928279,3,0.875,0.0118,0.866,0.8884,0.8959,0.0124,0.8759,0.0145,0.0506,0.0046,0.3373,0.0303
mobilenetv3_large,3003079,3,0.8609,0.0156,0.8439,0.8745,0.8837,0.0146,0.8611,0.0173,0.0657,0.0071,0.4167,0.0281
mobilenetv3_small,943159,3,0.8569,0.0022,0.8546,0.8591,0.8812,0.0022,0.8578,0.0025,0.0408,0.0023,0.3681,0.0127
efficientnetb0,4058538,3,0.8405,0.0054,0.8343,0.8441,0.8664,0.0053,0.8407,0.0063,0.0527,0.0053,0.3964,0.0352
